Bairro _formatado;<1;1-4;5-9;10-14;15-19;20-39;40-59;60-69;70-79;80;pop_total;IDH-B;regional
BOA VISTA;224;858;1122;1235;1192;5033;2833;567;307;134;13505;0,28;8,00
BENFICA;304;351;487;694;1171;5259;3716;1135;679;483;14279;0,62;4,00
CENTRO;319;1139;1521;1921;2381;11857;7623;2257;1485;961;31464;0,56;12,00
MOURA BRASIL;64;269;342;382;340;1419;894;249;129;65;4153;0,29;12,00
PRAIA DE IRACEMA;32;108;167;177;211;1233;940;325;163;96;3452;0,72;12,00
AUTRAN NUNES;383;1592;2119;2311;2491;8256;4637;887;487;212;23375;0,18;11,00
BELA VISTA;275;922;1237;1427;1623;6646;4249;1106;648;338;18471;0,38;11,00
CARLITO PAMPLONA;441;1880;2335;2675;2860;11282;7388;1763;963;469;32056;0,30;11,00
CONJUNTO CEARA I;237;1033;1334;1455;1584;7944;5003;1602;644;354;21190;0,36;11,00
CONJUNTO CEARA II;323;1183;1591;1749;1956;9790;6259;1954;836;462;26103;0,36;11,00
COUTO FERNANDES;88;313;422;491;527;2094;1203;395;178;87;5798;0,36;11,00
CRISTO REDENTOR;408;1801;2265;2707;2577;10446;6132;1675;978;465;29454;0,25;11,00
DEMOCRITO ROCHA;146;596;758;903;1031;4321;2887;767;477;233;12119;0,37;11,00
DOM LUSTOSA;218;816;1025;1238;1265;5259;3266;744;430;232;14493;0,32;11,00
HENRIQUE JORGE;391;1577;2076;2294;2581;10736;6922;1670;967;543;29757;0,34;11,00
JACARECANGA;160;815;1041;1145;1305;5337;3717;1057;681;399;15657;0,45;11,00
JOAO XXIII;276;1112;1468;1739;1848;7289;4515;1119;597;319;20282;0,28;11,00
JOQUEI CLUBE;234;974;1285;1582;1815;7583;5334;1316;754;433;21310;0,41;11,00
PAN AMERICANO;122;519;643;686;816;3377;2342;599;380;236;9720;0,37;11,00
PARQUE GENIBAU;725;3077;4037;4620;4744;16262;8557;1535;613;296;44466;0,14;11,00
PICI;712;2900;3776;4578;4828;16723;10054;1936;919;419;46845;0,22;11,00
ARACAPE;325;1348;2002;2177;1991;8143;3889;803;368;135;21181;0,00;10,00
CANINDEZINHO;755;3145;4200;4903;4888;16156;8945;1475;659;291;45417;0,14;10,00
CONJUNTO ESPERANCA;223;1007;1244;1504;1684;6421;4348;974;453;225;18083;0,29;10,00
JARDIM CEARENSE;160;523;794;972;1059;4197;2582;516;224;108;11135;0,00;10,00
MARAPONGA;137;522;801;929;965;4101;2737;598;256;150;11196;0,39;10,00
MONDUBIM;914;3927;5043;6010;5994;23330;13447;2363;1106;520;62654;0,23;10,00
NOVO MONDUBIM;335;1291;1634;1865;2019;8675;5086;913;486;221;22525;0,00;10,00
PARQUE PRESIDENTE VARGAS;147;574;736;898;872;2755;1445;302;134;66;7929;0,14;10,00
PARQUE SANTA ROSA;192;830;1135;1282;1300;5268;2959;644;333;157;14100;0,24;10,00
PARQUE SAO JOSE;153;616;924;1021;1045;4069;2493;654;399;192;11566;0,28;10,00
VILA MANOEL SATIRO;284;1009;1332;1574;1707;6971;4450;1096;592;299;19314;0,29;10,00
ANCURI;141;509;739;766;859;2720;1285;217;121;62;7419;0,20;9,00
BARROSO;548;2348;3052;3336;3334;11991;6364;1124;548;259;32904;0,19;9,00
CAJAZEIRAS;267;942;1260;1390;1467;6049;3524;632;314;118;15963;0,31;9,00
CONJUNTO PALMEIRAS;1456;2474;3268;4439;4415;15430;6684;1311;644;229;40350;0,12;9,00
JANGURUSSU;931;3463;4451;5856;5804;21105;11290;1625;800;327;55652;0,17;9,00
PEDRAS;33;92;111;141;156;521;308;55;51;12;1480;0,26;9,00
DENDE;95;388;520;547;541;2625;1242;155;65;39;6217;0,18;8,00
DIAS MACEDO;170;680;971;1210;1300;4793;2975;676;395;186;13356;0,27;8,00
ITAPERI;349;1320;1585;1849;2014;9924;5649;1262;632;289;24873;0,37;8,00
PARQUE DOIS IRMAOS;573;1714;2510;2798;2956;10879;6565;1255;536;236;30022;0,25;8,00
PASSARE;1002;3802;4852;5345;5391;21214;11458;1917;826;351;56158;0,23;8,00
PLANALTO AIRTON SENNA;747;2900;3943;4629;4774;15307;8618;1518;743;309;43488;0,17;8,00
PREFEITO JOSE WALTER;467;1968;2399;2924;3017;12785;8479;2527;1531;755;36852;0,40;8,00
SERRINHA;431;1791;2439;2763;3024;11551;6999;1521;800;396;31715;0,28;8,00
CIDADE 2000;77;354;439;536;532;3393;2268;819;438;266;9122;0,56;7,00
COCO;256;948;1212;1349;1683;8355;6002;1601;796;386;22588;0,76;7,00
EDSON QUEIROZ;264;1047;1548;2165;2251;10089;5313;1071;497;241;24486;0,35;7,00
ENGENHEIRO LUCIANO CAVALCANTE;210;837;1188;1338;1436;6377;3999;976;536;240;17137;0,52;7,00
GUARARAPES;77;244;297;349;478;2128;1534;429;195;77;5808;0,77;7,00
MANUEL DIAS BRANCO;29;108;111;153;142;660;291;67;18;16;1595;0,34;7,00
PRAIA DO FUTURO I;123;545;692;781;706;2628;1374;271;138;53;7311;0,29;7,00
PRAIA DO FUTURO II;243;991;1284;1419;1306;4883;2453;382;161;59;13181;0,17;7,00
SABIAGUABA;35;126;189;242;239;826;512;94;42;31;2336;0,27;7,00
SALINAS;72;269;349;382;404;1785;1096;217;119;45;4738;0,49;7,00
SAPIRANGA COITE;499;2322;2805;3443;3547;13103;7111;1610;662;351;35453;0,34;7,00
AEROLANDIA;165;670;791;1022;1199;4400;2921;707;425;223;12523;0,31;6,00
ALTO DA BALANCA;174;735;967;1111;1121;4956;3292;897;565;307;14125;0,35;6,00
CAMBEBA;173;448;465;518;712;3204;2062;489;218;120;8409;0,52;6,00
CIDADE DOS FUNCIONARIOS;190;844;1132;1283;1639;7265;5232;1504;670;367;20126;0,57;6,00
COACU;120;511;634;687;756;2911;1790;285;138;89;7921;0,26;6,00
CURIO;86;431;625;857;953;3264;1743;294;118;49;8420;0,19;6,00
GUAJIRU;101;410;554;617;678;2738;1735;275;155;83;7346;0,29;6,00
JARDIM DAS OLIVEIRAS;493;1986;2515;2973;3172;11610;6982;1672;823;369;32595;0,27;6,00
JOSE DE ALENCAR;204;974;1350;1536;1605;6801;3967;758;291;157;17643;0,38;6,00
LAGOA REDONDA;484;1935;2532;3089;3031;11236;6483;1148;581;290;30809;0,25;6,00
MESSEJANA;541;2142;2938;3538;4168;16501;11095;2664;1515;856;45958;0,38;6,00
PARQUE IRACEMA;138;531;566;634;688;3641;2223;504;236;110;9271;0,51;6,00
PARQUE MANIBURA;89;341;439;601;668;2959;2130;650;262;161;8300;0,58;6,00
PAUPINA;274;987;1238;1489;1639;6029;3386;639;326;160;16167;0,25;6,00
SAO BENTO;219;941;1231;1305;1276;4908;2555;427;251;72;13185;0,20;6,00
BOM JARDIM;687;2640;3584;4158;4422;14949;8085;1724;953;422;41624;0,20;5,00
BOM SUCESSO;621;2566;3478;4190;4263;16318;9930;2165;1274;611;45416;0,26;5,00
GRANJA LISBOA;908;3950;5131;6012;6158;20447;11060;2179;1011;516;57372;0,17;5,00
GRANJA PORTUGAL;708;2911;4012;4647;4530;15126;8354;1957;1012;458;43715;0,19;5,00
SIQUEIRA;654;2794;3613;4170;3819;13171;6794;1176;612;275;37078;0,15;5,00
AEROPORTO;127;603;827;1077;982;3457;1895;321;160;52;9501;0,18;4,00
BOM FUTURO;56;266;354;428;539;2379;1874;575;371;216;7058;0,51;4,00
DAMAS;118;467;605;730;952;4327;3050;808;498;261;11816;0,51;4,00
FATIMA;225;779;1031;1268;2083;9026;7192;2038;1194;860;25696;0,70;4,00
ITAOCA;157;684;832;1063;1175;4833;3411;810;518;272;13755;0,37;4,00
JARDIM AMERICA;149;616;756;964;1169;4607;3446;872;593;350;13522;0,44;4,00
JOSE BONIFACIO;65;283;405;511;805;3311;2501;867;591;417;9756;0,64;4,00
MONTESE;313;1312;1634;1908;2263;10295;6976;2000;1249;680;28630;0,47;4,00
PARANGABA;393;1569;2042;2496;2934;12268;8444;2137;1167;666;34116;0,42;4,00
PARREAO;123;576;771;762;898;4158;3202;841;536;340;12207;0,57;4,00
VILA PERI;271;1081;1428;1734;1917;8182;5489;1429;807;420;22758;0,34;4,00
VILA UNIAO;191;833;1071;1271;1348;6084;4071;1112;628;343;16952;0,47;4,00
AMADEU FURTADO;97;493;677;822;969;4435;3251;1015;708;435;12902;0,59;3,00
ANTONIO BEZERRA;374;1457;1836;2251;2593;10138;6734;1558;982;570;28493;0,35;3,00
FARIAS BRITO;146;521;719;866;1103;4553;3431;1005;551;407;13302;0,50;3,00
MONTE CASTELO;142;661;821;1052;1206;5181;3557;970;638;339;14567;0,44;3,00
OLAVO OLIVEIRA;165;785;1048;1227;1260;4825;2859;654;393;190;13406;0,00;3,00
PADRE ANDRADE;167;722;969;1170;1214;4978;3484;821;468;270;14263;0,36;3,00
PARQUE ARAXA;52;245;336;430;578;2466;1939;592;438;326;7402;0,59;3,00
PARQUELANDIA;112;477;684;895;1234;5366;4311;1331;904;602;15916;0,63;3,00
PRESIDENTE KENNEDY;273;1129;1560;1889;2262;9033;6184;1622;917;492;25361;0,43;3,00
QUINTINO CUNHA;631;2559;3076;3632;4031;14382;7972;1481;660;292;38716;0,22;3,00
RODOLFO TEOFILO;235;919;1133;1403;1701;7282;5395;1482;945;576;21071;0,48;3,00
SAO GERARDO/ALAGADICO;146;601;822;984;1272;5455;4427;1207;719;358;15991;0,59;3,00
VILA ELLERY;101;409;536;645;699;2996;2207;556;338;179;8666;0,42;3,00
ALDEOTA;353;1531;1834;2455;3403;16189;12854;4173;2435;1473;46700;0,87;2,00
CAIS DO PORTO;366;1703;2035;2290;2388;9045;4841;1203;573;230;24674;0,22;2,00
DE LOURDES;50;193;217;258;292;1354;982;237;97;38;3718;0,64;2,00
DIONISIO TORRES;118;491;712;890;1263;5901;4766;1544;998;554;17237;0,86;2,00
JOAQUIM TAVORA;221;892;1175;1369;1809;9098;6902;2068;1449;874;25857;0,66;2,00
MEIRELES;344;1277;1571;1958;2545;14446;11327;3911;2099;1289;40767;0,95;2,00
MUCURIPE;160;624;751;915;1091;5331;4022;1222;692;351;15159;0,79;2,00
PAPICU;252;1081;1257;1430;1723;7696;4593;1325;649;249;20255;0,53;2,00
SAO JOAO DO TAUAPE;613;1342;1686;2170;2298;10708;7326;2213;1350;721;30427;0,49;2,00
VARJOTA;71;327;394;526;704;3429;2454;763;383;233;9284;0,72;2,00
VICENTE PINZON;837;3114;3814;4474;4584;18615;10439;2511;1197;598;50183;0,33;2,00
ALVARO WEYNE;336;1270;1784;2078;2228;8991;6307;1593;964;566;26117;0,37;1,00
BARRA DO CEARA;1262;5071;6351;7459;8138;28978;16698;3406;1690;787;79840;0,22;1,00
FLORESTA;507;2056;2633;3082;3056;11148;6762;1457;811;344;31856;0,22;1,00
JARDIM GUANABARA;190;882;1140;1341;1431;5913;3753;988;573;232;16443;0,33;1,00
JARDIM IRACEMA;346;1404;1831;2200;2262;9073;5856;1389;812;386;25559;0,29;1,00
PIRAMBU;303;1249;1607;1851;1940;6489;4074;1049;692;342;19596;0,23;1,00
VILA VELHA;1001;4249;5407;6315;6280;24464;14445;3328;1648;795;67932;0,27;1,00
